Id,Label,timeset,lat,lng,provinz,background_map_node
bckm_13285,,,14.373053,106.004707,,true
bckm_13286,,,13.929998,106.056641,,true
bckm_13287,,,14.349648,105.210602,,true
bckm_13288,,,14.563332,105.536102,,true
bckm_13289,,,15.659721,105.637772,,true
bckm_13290,,,16.528332,104.747208,,true
bckm_13291,,,17.50333,104.718323,,true
bckm_13292,,,18.321663,103.985527,,true
bckm_13293,,,18.434994,103.397217,,true
bckm_13294,,,17.819996,102.683594,,true
bckm_13295,,,18.214983,102.089394,,true
bckm_13296,,,17.459995,101.162773,,true
bckm_13297,,,17.567219,100.921371,,true
bckm_13298,,,19.562218,101.281097,,true
bckm_13299,,,19.526665,100.503601,,true
bckm_13300,,,20.157768,100.58046,,true
bckm_13301,,,20.348606,100.09137,,true
bckm_13302,,,21.572636,101.148239,,true
bckm_13303,,,21.180275,101.281937,,true
bckm_13304,,,21.144161,101.787201,,true
bckm_13305,,,22.20916,101.574432,,true
bckm_13306,,,22.496941,101.738037,,true
bckm_13307,,,22.396286,102.140747,,true
bckm_13308,,,21.65583,102.676651,,true
bckm_13309,,,21.739437,102.976089,,true
bckm_13310,,,20.846664,103.170532,,true
bckm_13311,,,20.657219,103.693588,,true
bckm_13312,,,20.977219,104.109154,,true
bckm_13313,,,20.660275,104.6436,,true
bckm_13314,,,20.444717,104.381927,,true
bckm_13315,,,20.004997,104.979156,,true
bckm_13316,,,19.611942,104.640266,,true
bckm_13317,,,19.692944,104.037247,,true
bckm_13318,,,19.29361,103.879433,,true
bckm_13319,,,18.642494,105.193863,,true
bckm_13320,,,18.334442,105.183319,,true
bckm_13321,,,16.996941,106.561096,,true
bckm_13322,,,16.45805,106.685532,,true
bckm_13323,,,16.078609,107.464706,,true
bckm_13324,,,15.784164,107.175537,,true
bckm_13325,,,15.270832,107.695251,,true
bckm_13326,,,14.708618,107.5466,,true
bckm_13327,,,33.245728,35.623634,,true
bckm_13328,,,33.093605,35.10083,,true
bckm_13329,,,34.647499,35.972771,,true
bckm_13330,,,34.635277,36.459999,,true
bckm_13331,,,34.204994,36.623741,,true
bckm_13332,,,33.245728,35.623634,,true
bckm_13333,,,56.435547,21.068607,,true
bckm_13334,,,56.83638,21.053608,,true
bckm_13335,,,57.576942,21.73333,,true
bckm_13336,,,57.756386,22.610275,,true
bckm_13337,,,56.970268,23.785831,,true
bckm_13338,,,57.25666,24.407497,,true
bckm_13339,,,57.871826,24.31498,,true
bckm_13340,,,58.084435,25.294998,,true
bckm_13341,,,57.5261,26.511387,,true
bckm_13342,,,57.535637,27.372059,,true
bckm_13343,,,57.302216,27.861107,,true
bckm_13344,,,56.914711,27.70166,,true
bckm_13345,,,56.150154,28.168011,,true
bckm_13346,,,55.674835,26.613209,,true
bckm_13347,,,56.295547,25,,true
bckm_13348,,,56.423607,22.139439,,true
bckm_13349,,,56.077309,21.051685,,true
bckm_13350,,,56.435547,21.068607,,true
bckm_13351,,,55.674835,26.613209,,true
bckm_13352,,,56.150154,28.168011,,true
bckm_13353,,,55.60257,30.926247,,true
bckm_13354,,,55.043327,31.02972,,true
bckm_13355,,,54.79361,30.781387,,true
bckm_13356,,,54.064438,31.844162,,true
bckm_13357,,,53.80262,31.764225,,true
bckm_13358,,,53.463051,32.741104,,true
bckm_13359,,,53.024712,31.266941,,true
bckm_13360,,,52.108047,31.783886,,true
bckm_13361,,,52.073792,30.943096,,true
bckm_13362,,,51.251846,30.551414,,true
bckm_13363,,,51.939156,25.775829,,true
bckm_13364,,,51.886658,24.396664,,true
bckm_13365,,,51.527695,23.604633,,true
bckm_13366,,,52.079437,23.638607,,true
bckm_13367,,,52.282276,23.1654,,true
bckm_13368,,,52.732208,23.94083,,true
bckm_13369,,,53.947044,23.50404,,true
bckm_13370,,,54.160545,25.785275,,true
bckm_13371,,,54.332771,25.547497,,true
bckm_13372,,,54.87027,25.788887,,true
bckm_13373,,,55.281105,26.819717,,true
bckm_13374,,,55.341377,26.45583,,true
bckm_13375,,,55.674835,26.613209,,true
bckm_13376,,,55.326385,21.044441,,true
bckm_13377,,,55.27655,20.984814,,true
bckm_13378,,,55.287201,20.942833,,true
bckm_13379,,,55.719986,21.089996,,true
bckm_13380,,,55.326385,21.044441,,true
bckm_13381,,,56.295547,25,,true
bckm_13382,,,55.674835,26.613209,,true
bckm_13383,,,55.341377,26.45583,,true
bckm_13384,,,55.281105,26.819717,,true
bckm_13385,,,54.87027,25.788887,,true
bckm_13386,,,54.332771,25.547497,,true
bckm_13387,,,54.160545,25.785275,,true
bckm_13388,,,53.947044,23.50404,,true
bckm_13389,,,54.363838,22.785885,,true
bckm_13390,,,54.896942,22.842495,,true
bckm_13391,,,55.251938,21.431385,,true
bckm_13392,,,55.248985,21.263935,,true
bckm_13393,,,56.077309,21.051685,,true
bckm_13394,,,56.423607,22.139439,,true
bckm_13395,,,56.295547,25,,true
bckm_13396,,,6.403,-10.806074,,true
bckm_13397,,,6.927091,-11.492331,,true
bckm_13398,,,8.488377,-10.266651,,true
bckm_13399,,,8.346931,-9.48365,,true
bckm_13400,,,7.361989,-9.485161,,true
bckm_13401,,,7.198889,-9.106945,,true
bckm_13402,,,7.695,-8.660557,,true
bckm_13403,,,7.561325,-8.469749,,true
bckm_13404,,,6.860833,-8.308334,,true
bckm_13405,,,6.507815,-8.606384,,true
bckm_13406,,,5.839444,-7.423334,,true
bckm_13407,,,4.352806,-7.525402,,true
bckm_13408,,,5.055555,-9.142778,,true
bckm_13409,,,6.403,-10.806074,,true
bckm_13410,,,48.024994,17.251656,,true
bckm_13411,,,48.012497,17.166386,,true
bckm_13412,,,48.619064,16.946182,,true
bckm_13413,,,49.517357,18.851246,,true
bckm_13414,,,49.599998,19.475555,,true
bckm_13415,,,49.175278,20.074444,,true
bckm_13416,,,49.436386,21.618889,,true
bckm_13417,,,49.079437,22.558052,,true
bckm_13418,,,48.411919,22.151442,,true
bckm_13419,,,48.563332,20.660553,,true
bckm_13420,,,47.758606,18.655277,,true
bckm_13421,,,48.024994,17.251656,,true
bckm_13422,,,47.274544,9.533569,,true
bckm_13423,,,47.063835,9.598635,,true
bckm_13424,,,47.057457,9.474637,,true
bckm_13425,,,47.274544,9.533569,,true
bckm_13426,,,27.824444,9.948332,,true
bckm_13427,,,29.427776,9.766388,,true
bckm_13428,,,30.122498,9.303888,,true
bckm_13429,,,30.23439,9.537113,,true
bckm_13430,,,30.730831,10.21361,,true
bckm_13431,,,31.694164,10.287222,,true
bckm_13432,,,32.442215,11.567499,,true
bckm_13433,,,33.171135,11.526081,,true
bckm_13434,,,32.398605,15.165833,,true
bckm_13435,,,31.385555,15.761665,,true
bckm_13436,,,31.081665,17.370831,,true
bckm_13437,,,30.266941,19.001389,,true
bckm_13438,,,30.855274,20.060555,,true
bckm_13439,,,32.184715,20.084442,,true
bckm_13440,,,32.933609,21.621387,,true
bckm_13441,,,32.6325,23.112499,,true
bckm_13442,,,32.216225,23.247196,,true
bckm_13443,,,31.969997,24.973888,,true
bckm_13444,,,31.646942,25.151665,,true
bckm_13445,,,30.16861,24.706665,,true
bckm_13446,,,29.248886,24.997776,,true
bckm_13447,,,21.999695,25.001423,,true
bckm_13448,,,19.999119,25.000832,,true
bckm_13449,,,20.001942,24.000832,,true
bckm_13450,,,19.499065,24.002747,,true
bckm_13451,,,23.450554,16.000832,,true
bckm_13452,,,23.000591,14.997889,,true
bckm_13453,,,22.614166,14.234999,,true
bckm_13454,,,23.16861,13.543888,,true
bckm_13455,,,23.522305,11.986475,,true
bckm_13456,,,24.302498,11.558887,,true
bckm_13457,,,24.605831,10.252222,,true
bckm_13458,,,26.153332,9.398333,,true
bckm_13459,,,26.514164,9.871666,,true
bckm_13460,,,27.824444,9.948332,,true
bckm_13461,,,-17.089724,49.833612,,true
bckm_13462,,,-16.913891,49.860552,,true
bckm_13463,,,-16.725559,50.010553,,true
bckm_13464,,,-17.089724,49.833612,,true
bckm_13465,,,-15.436668,47.219721,,true
bckm_13466,,,-15.434446,47.207773,,true
bckm_13467,,,-15.427502,47.200556,,true
bckm_13468,,,-15.420557,47.206667,,true
bckm_13469,,,-15.420834,47.219446,,true
bckm_13470,,,-15.436668,47.219721,,true
bckm_13471,,,-13.418055,48.342501,,true
bckm_13472,,,-13.39139,48.205553,,true
bckm_13473,,,-13.196667,48.281389,,true
bckm_13474,,,-13.418055,48.342501,,true
bckm_13475,,,-12.090834,49.356943,,true
bckm_13476,,,-13.039446,49.943331,,true
bckm_13477,,,-15.580002,50.433611,,true
bckm_13478,,,-15.979723,50.172777,,true
bckm_13479,,,-15.432501,49.866106,,true
bckm_13480,,,-15.557501,49.633608,,true
bckm_13481,,,-16.83028,49.788607,,true
bckm_13482,,,-24.928059,47.133051,,true
bckm_13483,,,-25.588337,45.214724,,true
bckm_13484,,,-24.985279,44.017221,,true
bckm_13485,,,-22.282501,43.238886,,true
bckm_13486,,,-21.333889,43.500551,,true
bckm_13487,,,-19.97028,44.482218,,true
bckm_13488,,,-17.479446,43.93722,,true
bckm_13489,,,-16.184448,44.459162,,true
bckm_13490,,,-15.703611,46.151384,,true
bckm_13491,,,-15.966112,46.477221,,true
bckm_13492,,,-15.624723,46.338335,,true
bckm_13493,,,-15.198891,46.947222,,true
bckm_13494,,,-15.558056,46.959444,,true
bckm_13495,,,-15.448465,47.223619,,true
bckm_13496,,,-15.41292,47.235647,,true
bckm_13497,,,-15.305557,47.11194,,true
bckm_13498,,,-15.185001,47.058329,,true
bckm_13499,,,-14.665279,47.454996,,true
bckm_13500,,,-15.110556,47.427217,,true
bckm_13501,,,-14.603889,47.811277,,true
bckm_13502,,,-14.765556,48.001665,,true
bckm_13503,,,-14.420557,47.699442,,true
bckm_13504,,,-14.155556,48.048334,,true
bckm_13505,,,-13.59639,47.905275,,true
bckm_13506,,,-13.808056,48.287218,,true
bckm_13507,,,-13.427223,48.739717,,true
bckm_13508,,,-12.822224,48.959444,,true
bckm_13509,,,-12.434168,48.730829,,true
bckm_13510,,,-12.090834,49.356943,,true
bckm_13511,,,-12.62639,49.604441,,true
bckm_13512,,,-12.610001,49.595835,,true
bckm_13513,,,-12.623611,49.594446,,true
bckm_13514,,,-12.62639,49.604441,,true
bckm_13515,,,14.402777,-60.86084,,true
bckm_13516,,,14.876944,-61.174728,,true
bckm_13517,,,14.740833,-60.940834,,true
bckm_13518,,,14.402777,-60.86084,,true
bckm_13519,,,46.600109,91.020248,,true
bckm_13520,,,47.886383,90.074432,,true
bckm_13521,,,48.18277,88.65332,,true
bckm_13522,,,48.576942,87.973312,,true
bckm_13523,,,49.172951,87.840698,,true
bckm_13524,,,50.814995,92.322769,,true
bckm_13525,,,50.569443,94.274994,,true
bckm_13526,,,50.024437,94.635269,,true
bckm_13527,,,49.734436,97.34082,,true
bckm_13528,,,50.293884,98.289703,,true
bckm_13529,,,51.001106,97.827774,,true
bckm_13530,,,52.143608,98.930267,,true
bckm_13531,,,51.333603,102.218872,,true
bckm_13532,,,50.569717,102.327766,,true
bckm_13533,,,50.315269,102.918587,,true
bckm_13534,,,50.3386,106.66304,,true
bckm_13535,,,49.943626,107.977127,,true
bckm_13536,,,49.678047,107.949142,,true
bckm_13537,,,49.333603,108.57222,,true
bckm_13538,,,49.149437,110.788589,,true
bckm_13539,,,49.598602,113.09082,,true
bckm_13540,,,50.284164,114.313026,,true
bckm_13541,,,49.830467,116.71138,,true
bckm_13542,,,47.919441,115.592194,,true
bckm_13543,,,47.653595,117.372192,,true
bckm_13544,,,48.010551,117.801086,,true
bckm_13545,,,47.994751,118.539337,,true
bckm_13546,,,47.164154,119.72998,,true
bckm_13547,,,46.675552,119.897491,,true
bckm_13548,,,46.578331,117.421097,,true
bckm_13549,,,46.29583,116.585541,,true
bckm_13550,,,45.458603,115.701927,,true
bckm_13551,,,45.389435,114.545258,,true
bckm_13552,,,44.74527,113.638046,,true
bckm_13553,,,45.09166,111.98082,,true
bckm_13554,,,44.382492,111.421371,,true
bckm_13555,,,43.692215,111.958328,,true
bckm_13556,,,42.777771,110.440536,,true
bckm_13557,,,42.429993,109.313599,,true
bckm_13558,,,42.466103,107.471916,,true
bckm_13559,,,41.581383,105.012207,,true
bckm_13560,,,42.678047,100.835541,,true
bckm_13561,,,42.731102,96.383041,,true
bckm_13562,,,44.020828,95.336105,,true
bckm_13563,,,44.293884,95.416656,,true
bckm_13564,,,44.957214,93.554703,,true
bckm_13565,,,45.253052,90.896942,,true
bckm_13566,,,45.57972,90.681931,,true
bckm_13567,,,46.600109,91.020248,,true
bckm_13568,,,16.671387,-62.171394,,true
bckm_13569,,,16.711941,-62.236671,,true
bckm_13570,,,16.81361,-62.20195,,true
bckm_13571,,,16.671387,-62.171394,,true
bckm_13572,,,40.908882,20.82111,,true
bckm_13573,,,41.331108,20.492775,,true
bckm_13574,,,41.882187,20.589642,,true
bckm_13575,,,42.323883,22.365276,,true
bckm_13576,,,41.762215,23.014721,,true
bckm_13577,,,41.342125,22.935604,,true
bckm_13578,,,40.855888,20.98349,,true
bckm_13579,,,40.908882,20.82111,,true
bckm_13580,,,11.49391,-8.53388,,true
bckm_13581,,,12.486111,-9.155556,,true
bckm_13582,,,12.029163,-9.701946,,true
bckm_13583,,,12.224997,-10.323893,,true
bckm_13584,,,11.892609,-10.652748,,true
bckm_13585,,,12.224442,-10.92889,,true
bckm_13586,,,12.022774,-11.315556,,true
bckm_13587,,,12.407774,-11.373058,,true
bckm_13588,,,12.988054,-11.378056,,true
bckm_13589,,,13.664721,-12.057222,,true
bckm_13590,,,14.764385,-12.244833,,true
bckm_13591,,,14.863054,-11.841391,,true
bckm_13592,,,15.646387,-11.494167,,true
bckm_13593,,,15.106874,-10.899637,,true
bckm_13594,,,15.438902,-10.716387,,true
bckm_13595,,,15.443888,-9.411112,,true
bckm_13596,,,15.704721,-9.338057,,true
bckm_13597,,,15.499722,-9.333612,,true
bckm_13598,,,15.498371,-5.49505,,true
bckm_13599,,,16.328053,-5.335,,true
bckm_13600,,,16.507774,-5.601389,,true
bckm_13601,,,24.999165,-6.577223,,true
bckm_13602,,,25.000275,-4.806111,,true
bckm_13603,,,21.102543,1.169662,,true
bckm_13604,,,20.741108,1.1675,,true
bckm_13605,,,20.308331,1.795833,,true
bckm_13606,,,19.820274,3.233055,,true
bckm_13607,,,18.976387,3.331944,,true
bckm_13608,,,19.146664,4.245277,,true
bckm_13609,,,18.645275,4.245,,true
bckm_13610,,,16.393887,4.200833,,true
bckm_13611,,,15.358152,3.523981,,true
bckm_13612,,,15.286665,1.3125,,true
bckm_13613,,,14.915068,0.235048,,true
bckm_13614,,,15.082777,-0.725278,,true
bckm_13615,,,14.474722,-1.980834,,true
bckm_13616,,,14.187777,-2.006945,,true
bckm_13617,,,14.287498,-2.474722,,true
bckm_13618,,,13.655554,-2.879167,,true
bckm_13619,,,13.696665,-3.2575,,true
bckm_13620,,,13.166498,-3.437675,,true
bckm_13621,,,13.50383,-3.964253,,true
bckm_13622,,,13.121666,-4.337223,,true
bckm_13623,,,12.300831,-4.4175,,true
bckm_13624,,,11.843887,-5.273056,,true
bckm_13625,,,10.436272,-5.51985,,true
bckm_13626,,,10.197777,-6.111389,,true
bckm_13627,,,10.735256,-6.243402,,true
bckm_13628,,,10.147499,-6.988056,,true
bckm_13629,,,10.448332,-7.635556,,true
bckm_13630,,,10.165611,-7.973984,,true
bckm_13631,,,11.007776,-8.289722,,true
bckm_13632,,,10.966389,-8.680557,,true
bckm_13633,,,11.305555,-8.357779,,true
bckm_13634,,,11.49391,-8.53388,,true
bckm_13635,,,32.734802,-9.053169,,true
bckm_13636,,,34.018608,-6.843056,,true
bckm_13637,,,35.790649,-5.918744,,true
bckm_13638,,,35.916336,-5.395557,,true
bckm_13639,,,35.84166,-5.345834,,true
bckm_13640,,,35.208885,-4.695834,,true
bckm_13641,,,35.329163,-2.946945,,true
bckm_13642,,,35.266663,-2.925278,,true
bckm_13643,,,35.273605,-2.914722,,true
bckm_13644,,,35.085831,-2.209445,,true
bckm_13645,,,34.747215,-1.747222,,true
bckm_13646,,,33.261108,-1.668056,,true
bckm_13647,,,32.508331,-1.010278,,true
bckm_13648,,,32.11055,-1.180556,,true
bckm_13649,,,32.088333,-2.853889,,true
bckm_13650,,,31.695553,-3.818334,,true
bckm_13651,,,30.970554,-3.626667,,true
bckm_13652,,,30.508053,-4.920556,,true
bckm_13653,,,29.902496,-5.538334,,true
bckm_13654,,,29.636944,-7.123889,,true
bckm_13655,,,28.709442,-8.667223,,true
bckm_13656,,,27.666664,-8.666668,,true
bckm_13657,,,27.666958,-13.174961,,true
bckm_13658,,,28.334442,-11.458057,,true
bckm_13659,,,29.428055,-10.138056,,true
bckm_13660,,,30.168053,-9.640278,,true
bckm_13661,,,31.446663,-9.809168,,true
bckm_13662,,,32.734802,-9.053169,,true
bckm_13663,,,-20.514168,57.572495,,true
bckm_13664,,,-20.449169,57.304718,,true
bckm_13665,,,-19.986389,57.624443,,true
bckm_13666,,,-20.514168,57.572495,,true
bckm_13667,,,-19.735836,63.466385,,true
bckm_13668,,,-19.738056,63.328606,,true
bckm_13669,,,-19.673058,63.461105,,true
bckm_13670,,,-19.735836,63.466385,,true
bckm_13671,,,-10.397223,56.564438,,true
bckm_13672,,,-10.346668,56.511665,,true
bckm_13673,,,-10.316668,56.513611,,true
bckm_13674,,,-10.397223,56.564438,,true
bckm_13675,,,19.603611,-16.427502,,true
bckm_13676,,,19.699718,-16.460003,,true
bckm_13677,,,19.866386,-16.344448,,true
bckm_13678,,,19.603611,-16.427502,,true
bckm_13679,,,26.129166,-6.662778,,true
bckm_13680,,,25.000275,-4.806111,,true
bckm_13681,,,24.999165,-6.577223,,true
bckm_13682,,,16.507774,-5.601389,,true
bckm_13683,,,16.328053,-5.335,,true
bckm_13684,,,15.498371,-5.49505,,true
bckm_13685,,,15.499722,-9.333612,,true
bckm_13686,,,15.704721,-9.338057,,true
bckm_13687,,,15.443888,-9.411112,,true
bckm_13688,,,15.438902,-10.716387,,true
bckm_13689,,,15.106874,-10.899637,,true
bckm_13690,,,15.646387,-11.494167,,true
bckm_13691,,,14.863054,-11.841391,,true
bckm_13692,,,14.764385,-12.244833,,true
bckm_13693,,,16.638611,-14.345278,,true
bckm_13694,,,16.519722,-16.280834,,true
bckm_13695,,,16.060249,-16.527679,,true
bckm_13696,,,17.728054,-16.039448,,true
bckm_13697,,,19.352219,-16.511669,,true
bckm_13698,,,20.223053,-16.196392,,true
bckm_13699,,,21.161663,-16.919724,,true
bckm_13700,,,20.764095,-17.05233,,true
bckm_13701,,,21.338333,-16.953056,,true
bckm_13702,,,21.338284,-15.741997,,true
bckm_13703,,,21.338055,-12.999723,,true
bckm_13704,,,22.893055,-13.105278,,true
bckm_13705,,,23.454441,-12.000278,,true
bckm_13706,,,26,-12.000557,,true
bckm_13707,,,26.000275,-8.666945,,true
bckm_13708,,,27.290459,-8.66679,,true
bckm_13709,,,26.129166,-6.662778,,true
bckm_13710,,,35.820274,14.562222,,true
bckm_13711,,,35.847496,14.374998,,true
bckm_13712,,,35.978882,14.326387,,true
bckm_13713,,,35.820274,14.562222,,true
bckm_13714,,,36.011383,14.2675,,true
bckm_13715,,,36.060829,14.18111,,true
bckm_13716,,,36.033882,14.34111,,true
bckm_13717,,,36.011383,14.2675,,true
bckm_13718,,,17.490833,55.874718,,true
bckm_13719,,,17.49361,55.829163,,true
bckm_13720,,,17.516666,55.859718,,true
bckm_13721,,,17.490833,55.874718,,true
bckm_13722,,,17.484165,56.024162,,true
bckm_13723,,,17.519165,55.957497,,true
bckm_13724,,,17.514721,56.093605,,true
bckm_13725,,,17.484165,56.024162,,true
bckm_13726,,,20.441109,58.842773,,true
bckm_13727,,,20.168888,58.649719,,true
bckm_13728,,,20.693054,58.899719,,true
bckm_13729,,,20.441109,58.842773,,true
bckm_13730,,,24.938889,56.037498,,true
bckm_13731,,,24.734722,56.104164,,true
bckm_13732,,,24.979382,56.373528,,true
bckm_13733,,,23.937775,57.164993,,true
bckm_13734,,,23.633053,58.609444,,true
bckm_13735,,,22.226665,59.811386,,true
bckm_13736,,,20.411663,58.515831,,true
bckm_13737,,,20.612499,58.210831,,true
bckm_13738,,,20.218887,57.829437,,true
bckm_13739,,,18.969444,57.803886,,true
bckm_13740,,,18.747684,56.814484,,true
bckm_13741,,,17.934166,56.353333,,true
bckm_13742,,,17.828888,55.436943,,true
bckm_13743,,,17.018608,55.039993,,true
bckm_13744,,,16.642778,53.114441,,true
bckm_13745,,,18.999344,51.99929,,true
bckm_13746,,,20,55,,true
bckm_13747,,,21.999722,55.666107,,true
bckm_13748,,,22.699718,55.199165,,true
bckm_13749,,,23.972775,55.510277,,true
bckm_13750,,,24.076111,56.024719,,true
bckm_13751,,,24.563889,55.779442,,true
bckm_13752,,,24.938889,56.037498,,true
bckm_13753,,,26.382389,56.365368,,true
bckm_13754,,,25.636015,56.269722,,true
bckm_13755,,,25.654989,56.183331,,true
bckm_13756,,,26.065559,56.079941,,true
bckm_13757,,,26.382389,56.365368,,true
bckm_13758,,,-0.689722,73.176376,,true
bckm_13759,,,-0.683889,73.156372,,true
bckm_13760,,,-0.681667,73.171921,,true
bckm_13761,,,-0.689722,73.176376,,true
bckm_13762,,,-0.680833,73.201385,,true
bckm_13763,,,-0.684722,73.188309,,true
bckm_13764,,,-0.667222,73.201935,,true
bckm_13765,,,-0.680833,73.201385,,true
bckm_13766,,,-0.668889,73.12915,,true
bckm_13767,,,-0.668889,73.125259,,true
bckm_13768,,,-0.653333,73.121368,,true
bckm_13769,,,-0.668889,73.12915,,true
bckm_13770,,,-0.648056,73.23082,,true
bckm_13771,,,-0.6325,73.226089,,true
bckm_13772,,,-0.617778,73.242203,,true
bckm_13773,,,-0.648056,73.23082,,true
bckm_13774,,,-0.635833,73.116379,,true
bckm_13775,,,-0.606667,73.09082,,true
bckm_13776,,,-0.5825,73.09137,,true
bckm_13777,,,-0.635833,73.116379,,true
bckm_13778,,,-0.605278,73.248032,,true
bckm_13779,,,-0.585556,73.235809,,true
bckm_13780,,,-0.576111,73.249146,,true
bckm_13781,,,-0.605278,73.248032,,true
bckm_13782,,,-0.299444,73.44693,,true
bckm_13783,,,-0.286389,73.428314,,true
bckm_13784,,,-0.285278,73.442474,,true
bckm_13785,,,-0.299444,73.44693,,true
bckm_13786,,,0.211944,73.106934,,true
bckm_13787,,,0.228056,73.095535,,true
bckm_13788,,,0.228889,73.103317,,true
bckm_13789,,,0.211944,73.106934,,true
bckm_13790,,,0.230833,73.214706,,true
bckm_13791,,,0.24,73.209152,,true
bckm_13792,,,0.239167,73.220261,,true
bckm_13793,,,0.230833,73.214706,,true
bckm_13794,,,0.259444,73.044983,,true
bckm_13795,,,0.261389,73.034424,,true
bckm_13796,,,0.272778,73.033051,,true
bckm_13797,,,0.259444,73.044983,,true
bckm_13798,,,0.28,73.375809,,true
bckm_13799,,,0.281389,73.367203,,true
bckm_13800,,,0.291944,73.3797,,true
bckm_13801,,,0.28,73.375809,,true
bckm_13802,,,0.378333,73.513046,,true
bckm_13803,,,0.383889,73.504715,,true
bckm_13804,,,0.3925,73.508881,,true
bckm_13805,,,0.378333,73.513046,,true
bckm_13806,,,0.488611,72.943039,,true
bckm_13807,,,0.485555,72.938034,,true
bckm_13808,,,0.499722,72.937195,,true
bckm_13809,,,0.488611,72.943039,,true
bckm_13810,,,0.499722,73.498032,,true
bckm_13811,,,0.496944,73.493042,,true
bckm_13812,,,0.508055,73.487762,,true
bckm_13813,,,0.499722,73.498032,,true
bckm_13814,,,1.781667,73.374695,,true
bckm_13815,,,1.788611,73.361374,,true
bckm_13816,,,1.795278,73.374695,,true
bckm_13817,,,1.781667,73.374695,,true
bckm_13818,,,1.793889,73.399155,,true
bckm_13819,,,1.806389,73.397766,,true
bckm_13820,,,1.805833,73.407761,,true
bckm_13821,,,1.793889,73.399155,,true
bckm_13822,,,1.831944,73.287201,,true
bckm_13823,,,1.819166,73.297211,,true
bckm_13824,,,1.823055,73.284424,,true
bckm_13825,,,1.831944,73.287201,,true
bckm_13826,,,1.826667,73.506943,,true
bckm_13827,,,1.823055,73.49498,,true
bckm_13828,,,1.847222,73.516663,,true
bckm_13829,,,1.826667,73.506943,,true
bckm_13830,,,1.889166,73.250549,,true
bckm_13831,,,1.886111,73.241928,,true
bckm_13832,,,1.898333,73.247757,,true
bckm_13833,,,1.889166,73.250549,,true
bckm_13834,,,1.896389,73.549988,,true
bckm_13835,,,1.891944,73.539978,,true
bckm_13836,,,1.937222,73.549713,,true
bckm_13837,,,1.896389,73.549988,,true
bckm_13838,,,1.965,73.55304,,true
bckm_13839,,,1.964166,73.548325,,true
bckm_13840,,,1.978333,73.547211,,true
bckm_13841,,,1.965,73.55304,,true
bckm_13842,,,1.985,73.323044,,true
bckm_13843,,,1.986388,73.313873,,true
bckm_13844,,,1.995555,73.322495,,true
bckm_13845,,,1.985,73.323044,,true
bckm_13846,,,2.1075,73.588882,,true
bckm_13847,,,2.09611,73.559143,,true
bckm_13848,,,2.11,73.567764,,true
bckm_13849,,,2.1075,73.588882,,true
bckm_13850,,,2.190555,73.123871,,true
bckm_13851,,,2.196944,73.11026,,true
bckm_13852,,,2.196944,73.121918,,true
bckm_13853,,,2.190555,73.123871,,true
bckm_13854,,,2.314444,72.930817,,true
bckm_13855,,,2.3225,72.919983,,true
bckm_13856,,,2.328888,72.92276,,true
bckm_13857,,,2.314444,72.930817,,true
bckm_13858,,,2.384444,73.366653,,true
bckm_13859,,,2.440833,73.350266,,true
bckm_13860,,,2.409721,73.368591,,true
bckm_13861,,,2.384444,73.366653,,true
bckm_13862,,,2.492499,73.319717,,true
bckm_13863,,,2.491944,73.313599,,true
bckm_13864,,,2.504722,73.311096,,true
bckm_13865,,,2.492499,73.319717,,true
bckm_13866,,,2.681388,72.876083,,true
bckm_13867,,,2.684999,72.866379,,true
bckm_13868,,,2.69611,72.866379,,true
bckm_13869,,,2.681388,72.876083,,true
bckm_13870,,,2.734444,73.025269,,true
bckm_13871,,,2.736944,73.018875,,true
bckm_13872,,,2.747499,73.034988,,true
bckm_13873,,,2.734444,73.025269,,true
bckm_13874,,,2.771666,73.356644,,true
bckm_13875,,,2.770833,73.348877,,true
bckm_13876,,,2.781944,73.349426,,true
bckm_13877,,,2.771666,73.356644,,true
bckm_13878,,,2.946944,73.017761,,true
bckm_13879,,,2.946944,73.005829,,true
bckm_13880,,,2.954722,73.012207,,true
bckm_13881,,,2.946944,73.017761,,true
bckm_13882,,,2.948888,73.579987,,true
bckm_13883,,,2.950555,73.574432,,true
bckm_13884,,,2.967499,73.585541,,true
bckm_13885,,,2.948888,73.579987,,true
bckm_13886,,,3.101944,72.982208,,true
bckm_13887,,,3.108055,72.973877,,true
bckm_13888,,,3.110833,72.982758,,true
bckm_13889,,,3.101944,72.982208,,true
bckm_13890,,,3.367777,73.587204,,true
bckm_13891,,,3.372221,73.581665,,true
bckm_13892,,,3.376944,73.59082,,true
bckm_13893,,,3.367777,73.587204,,true
bckm_13894,,,3.446388,73.753326,,true
bckm_13895,,,3.451111,73.747757,,true
bckm_13896,,,3.452499,73.751389,,true
bckm_13897,,,3.446388,73.753326,,true
bckm_13898,,,3.510278,72.802765,,true
bckm_13899,,,3.511111,72.78804,,true
bckm_13900,,,3.516944,72.798599,,true
bckm_13901,,,3.510278,72.802765,,true
bckm_13902,,,3.544167,72.92276,,true
bckm_13903,,,3.537777,72.908035,,true
bckm_13904,,,3.559721,72.9272,,true
bckm_13905,,,3.544167,72.92276,,true
bckm_13906,,,3.714166,72.697479,,true
bckm_13907,,,3.724721,72.687759,,true
bckm_13908,,,3.724166,72.699417,,true
bckm_13909,,,3.714166,72.697479,,true
bckm_13910,,,3.933055,73.473877,,true
