Id,Label,timeset,lat,lng,provinz,background_map_node
"Orbe / Urbe,Orbe / Urbe,""<[213.0, 213.0]>"",46.7248,6.5307,Germania superior  ,"
"Osterburken,Osterburken,""<[186.0, 235.0]>"",49.4037,9.429,Germania superior  ,"
"Paudex,Paudex,""<[140.0, 144.0]>"",46.5118,6.6731,Germania superior  ,"
"Penthalaz,Penthalaz,""<[193.0, 211.0]>"",46.6017,6.5272,Germania superior  ,"
"Pompaples,Pompaples,""<[166.0, 169.0]>"",46.6198,6.4867,Germania superior  ,"
"Pontailler-sur-Saône,Pontailler-sur-Saône,""<[138.0, 139.0]>"",47.3136,5.3234,Belgica | Germania superior  ,"
"Prévessin-Moëns,Prévessin-Moëns,""<[219.0, 238.0]>"",46.2608,6.0771,Germania superior  ,"
"Rastatt,Rastatt,""<[220.0, 220.0]>"",48.8586,8.2099,Germania superior  ,"
"Remagen / Rigomagus,Remagen / Rigomagus,""<[98.0, 244.0]>"",50.5781,7.2402,Germania inferior,"
"Rijswijk,Rijswijk,""<[250.0, 250.0]>"",52.037,4.3247,Germania inferior,"
"Rindern / Harenatium,Rindern / Harenatium,""<[66.0, 68.0]>"",51.8397,6.1492,Germania inferior,"
"Rolle,Rolle,""<[201.0, 337.0]>"",46.4586,6.3371,Germania superior  ,"
"Roomburg / Matilo,Roomburg / Matilo,""<[101.0, 209.0]>"",52.1573,4.4957,Germania inferior,"
"Saint-Prex / Lousonna,Saint-Prex / Lousonna,""<[213.0, 213.0]>"",46.4835,6.4597,Germania superior  ,"
"Seltz / Selz / Saletio,Seltz / Selz / Saletio,""<[250.0, 260.0]>"",48.9667,8.1087,Germania superior  ,"
"Sinzheim,Sinzheim,""<[213.0, 244.0]>"",48.7783,8.1425,Germania superior  ,"
"Solothurn / Salodurum,Solothurn / Salodurum,""<[213.0, 235.0]>"",47.2079,7.5371,Germania superior  ,"
"Stein am Rhein / Tasgetium,Stein am Rhein / Tasgetium,""<[294.0, 305.0]>"",47.6593,8.8564,Germania superior  ,"
"Tetz / Iuliacum,Tetz / Iuliacum,""<[138.0, 139.0]>"",51.0647,6.3997,Germania inferior,"
"Treycovagnes,Treycovagnes,""<[202.0, 204.0]>"",46.7777,6.6193,Germania superior  ,"
"Trienz,Trienz,""<[145.0, 161.0]>"",49.4004,9.1395,Germania superior  ,"
"Tübingen,Tübingen,""<[235.0, 238.0]>"",48.5216,9.0576,Germania superior  ,"
"Vechten / Fectio,Vechten / Fectio,""<[211.0, 217.0]>"",52.0514,5.0869,Germania inferior,"
"Vich,Vich,""<[251.0, 253.0]>"",46.4256,6.2559,Germania superior  ,"
"Villenhaus, Försterei,""Villenhaus, Försterei"",""<[251.0, 253.0]>"",50.8348,6.8411,Germania inferior,"
"Vynen / Vetera,Vynen / Vetera,""<[73.0, 73.0]>"",51.6061,6.3517,Germania inferior,"
"Walheim,Walheim,""<[188.0, 188.0]>"",48.9336,9.1944,Germania superior  ,"
"Wiesbaden / Aquae Mattiacorum,Wiesbaden / Aquae Mattiacorum,""<[212.0, 251.0]>"",50.0825,8.2413,Germania superior  ,"
"Will,Will,""<[99.0, 99.0]>"",47.4622,9.0462,Germania superior  ,"
"Windisch / Vindonissa,Windisch / Vindonissa,""<[16.0, 375.0]>"",47.4777,8.2153,Germania superior  ,"
"Winterthur / Vitudurum,Winterthur / Vitudurum,""<[293.0, 294.0]>"",47.4997,8.7241,Germania superior  ,"
"Worms / Borbetomagus,Worms / Borbetomagus,""<[253.0, 305.0]>"",49.6321,8.3591,Germania superior  ,"
"Worringen / Vicani Segorigienses,Worringen / Vicani Segorigienses,""<[139.0, 161.0]>"",51.1042,6.8786,Germania inferior,"
"Zahlbach / Mogontiacum,Zahlbach / Mogontiacum,""<[139.0, 139.0]>"",50,8.25,Germania superior  ,"
"Zülpich / Tolbiacum,Zülpich / Tolbiacum,""<[202.0, 202.0]>"",50.6925,6.6563,Germania inferior,"
"Zyfflich,Zyfflich,""<[161.0, 217.0]>"",51.8464,6.0181,Germania inferior,"
"Antoninus Pius,Antoninus Pius,""<[138.0, 161.0]>"",41.9028,12.4964,Roma,"
